0	使えないです。	高専生は英語ができないと聞きましたが、本当ですか	0
1	高専の最寄り駅はどこですか	梅坪駅です	1
2	他の高専の人と仲良くなれますか？	Twitterをインストールすればなれます	1
3	高専生活は長いですか？	女子はいますか？	0
4	寮でゲームはできますか	禁止されていますが、スマートフォンのゲームなら黙認されています	1
5	専門科目は難しいですか？	推薦入試は難しいですか？	0
6	運動場に芝生は生えていますか	部活は厳しいですか？	0
7	強制ではありません。家から通ったほうがいい人は流されずに通いましょう。	乗ってくる女の人の中で可愛い人を見つけることです	0
8	Alexa,今日の天気は	今日の豊田市の天気は晴れ、気温は23℃です	1
9	使えます	1年生から寮生じゃなくても友達は作れますか？	0
10	英語は使いますか	できるようになります。I am a pen!!	0
11	微分方程式の解の公式は覚えたほうが良いですか？	導出しましょう	1
12	女子はどのくらいいますか	女子はいますが少ないです	1
13	豊田高専は大きいですか？	大きいです	1
14	こうよう祭は楽しいですか？	ぜひ来てください！！	1
15	週に二回掃除があります。	楽しいです	0
16	高専の科目で一番難しいのは何ですか	専門科目は好きですか	0
17	高専に入る利点はありますか？	食堂のご飯のコスパはいいです	0
18	高専病にはかかりますか？	いいえ、毎年私立学校の文化祭に行けば現実を目の当たりにします。	1
19	最初に同じ部屋になった人に鍵を閉められ、土日を無駄にしたことがあります。	電気電子システム工学科はどんな学科ですか	0
20	磁荷が存在しないからです。	行く人は行きます	0
21	屋上に立ち入ることはできますか	好きな先生は誰ですか	0
22	寮にいると地元の友だちいなくなりませんか？	い、いるし...	1
23	クラスメートと仲良くなる秘訣はなんですか？	アニメの話をすると興奮する人がいます	1
24	就職は有利ですか？	基礎解析です。まじめに受けておけば後々楽ができます。	0
25	夏はカメムシがよく出ます	学科学年によりますが４０人くらいです	0
26	猿が500人くらいいます	ありますが、見られる時間が限られています	0
27	マクスウェルの方程式って何ですか？	つくれます	0
28	学校行事は楽しいですか	楽しいです	1
29	専門科目の試験は難しいですか	流行にはついていけますか？	0
30	高専生活は長いですか？	短いです	1
31	行く人は行きます	入試の英語は難しいですか	0
32	生活はたのしいですか？	pythonです	0
33	このチャットボットを作るのは大変でしたか？	英語はできますか？	0
34	電磁気は難しいですか？	はい、私は落としました	1
35	物理は使いますか	使います	1
36	高専から他高専への転校は可能ですか？	就職は良い企業にいけますか？	0
37	卒業したら学歴はどうなりますか？	ロボコンは楽しいですか？	0
38	必要です。情報工学科では三年次に全員が購入する必要があります	頭よさそう	0
39	クラスメートと仲良くなる秘訣はなんですか？	好きなOSは何ですか？	0
40	高専についてネットで色々書かれていますがどう思いますか？	色々書く人はろくな人とつるんでいないんだと思います（これマジ）	1
41	何年生まで寮に入ることができますか？	好きな教科はなんですか	0
42	単位は美味しいですか	体育は何をしますか	0
43	使えないです。	先生の笑顔	0
44	トイレは綺麗ですか	臭いです	0
45	おいでんバスは便利ですか	NTRは地雷ですか	0
46	外部単位はどんなものがありますか	TOEICや各種資格が認定されます。詳しくはホームページを確認してください	1
47	寮生活の悩みはありますか？	鶏舎の臭いが臭すぎることです	1
48	いいえ。しかし、とがっていて面白いです。	できるようになります。I am a pen!!	0
49	寮の掃除はありますか	学校で動物は飼っていますか	0
50	モンスターは美味しいですか	美味しいです	1
51	高専生は英語ができないと聞きましたが、本当ですか	英語が高専生できてない	1
52	趣味の合う人はいますか	トイレは綺麗ですか	0
53	1年生から寮生じゃなくても友達は作れますか？	オタクしかいません	0
54	Hückel則について教えてください	π電子の数が4n+2(n=0,1,2...)で且つ分子が平面上である場合、その化合物は芳香族性を示すというものです。フラン、チオフェン、ピロールなどの化合物を芳香族複素環式化合物と呼び、その化合物のO,S,N等の元素をヘテロ元素と呼びます	1
55	朝体操はさぼることはできますか？	Alexaは物理が好きです	0
56	専門の知識は身に付きますか	身に付きます	1
57	豊田高専はどこにありますか	最初に同じ部屋になった人に鍵を閉められ、土日を無駄にしたことがあります。	0
58	学校で動物は飼っていますか	校歌を歌ってください	0
59	ホモはいますか？	います	0
60	寮の近くに遊ぶ場所はありますか？	Dess-Martinペルヨージナンを触媒に用いた酸化反応です	0
61	売店のおすすめ商品はありますか？	アルフォートです。コストパフォーマンスに優れています。	1
62	入試の成績は今後に影響しますか？	しません。ただし、学科一位を取った人は留年をするというジンクスがあります。	1
63	GPAはふつうどれぐらいですか？	普通に受けてたら3以上はあります。	1
64	学校に木は生えていますか	校門の前に桜の木が沢山生えています	1
65	クリスマスはありますか	今年のクリスマスは12月25日です	1
66	建築学科はどんな学科ですか	まず一般課程から始め、その基礎の上に立って建築学に特に関係を持つ、人文社会系の知識を補い、次いで建築学の技術面に必要な工学の一般的基礎及び専門分野の基礎、更に進んで専門のいろいろな分野についての理解を種々の実験設備、最新鋭のCADシステム、ビジュアル装置等を利用して深めるように配置しています。最終学年においては、それまでに養った人文・社会・自然科学の知識と建築学の知識とを一つのまとまった形に集約できるようなセミナーや卒業研究を学生個人別に指導しています。	1
67	内申点はどのくらい必要ですか	売店のおすすめ商品はありますか？	0
68	論文は読めますか？	そもそも元が標準はあると思うのでなんとかなります。	0
69	推薦入試は難しいですか？	詳しくはわからないので頑張ってください	1
70	インターンシップに行く際に苦労しますか？	すみません、いってないのでわかりません。	1
71	同じ志を持つ仲間と巡り会えることです	高専生は頭がいいですか？	0
72	高専ではどんなプログラミング言語を学べますか	Python,C,java等です	1
73	朝に出校するときに困ることはありますか？	はい、出る時間が低学年は決まっており、守らないと夜に部屋に呼び出されます	1
74	高専はどんな場所ですか	専門的な内容を学べる場所です	1
75	西山公園です	環境都市工学科はどんな学科ですか	0
76	そもそも元が標準はあると思うのでなんとかなります。	クラスの人数はどれくらいですか？	0
77	プロコンは何をするんですか？	九十分くらいあるので、長いです	0
78	寮に入ったときにイベントはありますか？	楽しみにしておいてください	1
79	トイレは綺麗ですか	情報工学科棟の御手洗いは些か汚いです。一般学科棟のトイレは新しいです	1
80	高専生であるメリットはありますか	頭よさそう	1
81	人によります	寮に入ったときにイベントはありますか？	0
82	高専の科目で一番難しいのは何ですか	人によりますが、Alexaはコンピュータアーキテクチャだと思います	1
83	学生と生徒の違いってなんですか？	学生は生徒とは違い自ら主体的に知識を学ぶ人間を呼び、高専生は学生扱いされます。	1
84	高専を三年で辞めて、農業大学に入学することは可能ですか？	数学と理科は大事ですか？	0
85	いません。	部活動はありますか？	0
86	Alexaは物理が好きです	部活は厳しいですか？	0
87	好きな飲み物はなんですか	カフェオレです	1
88	いじめはありますか	ほとんど無いです	1
89	車で通学をすることはできますか	免許を取って申請すればできますが、指定の講習会にでる必要があります	1
90	インターンは楽しいですか？	好きな先生は誰ですか	0
91	なんで情報工学科棟は隔離されているんですか？	オタクが多いからです	1
92	150万くらいです	F	0
93	高専って何ですか	高等専門学校という五年制の学校です	1
94	予備校に行く必要はありますか？	ちょっと何言ってるかわかんない。。。	0
95	高専に入ってよかったことは何ですか	四年間くらい遊べる	1
96	寮祭はどんなお祭りですか	このチャットボットを作るのは大変でしたか？	0
97	ホモはいますか？	まともですか？	0
98	学生会があります	先輩は優しいですか？	0
99	売店に文房具はありますか	あります。建築学科向けの道具は置いています	1
100	学習環境は快適ですか	快適です。図書館には机が沢山置いてあります	1
101	部活ばっかりやってて成績は落ちますか？	60点です。	0
102	楽しいです	TOEICや各種資格が認定されます。詳しくはホームページを確認してください	0
103	寮のご飯は美味しいですか	近くにおいしい店はありますか？	0
104	高専を三年で辞めて、農業大学に入学することは可能ですか？	はい、前例があります	1
105	流行にはついていけますか？	一般高校にマウントは取れますか？	0
106	プール授業はあります？	高専にはどんな施設がありますか	0
107	クラスの人数はどれくらいですか？	いろいろあります。詳しくはホームぺージをチェック！	0
108	部活の掛け持ちはできますか？	いくらでもできます	1
109	はい、外部単位という形で認められた資格を取ると取得できたりします。外部の大学の授業を取ることもできます。	校則はありますか？	0
110	プロゲーマーになれますか	前例はあります	1
111	アニメの話をすると興奮する人がいます	陰キャですか？	0
112	高専で英語が話せるようになりますか？	定期試験は難しいですか	0
113	西山公園です	しません。ただし、学科一位を取った人は留年をするというジンクスがあります。	0
114	ベットは固いですか？	固いです。マットレスを持ち込みましょう	1
115	クラス替えはありますか？	ないですが、知らないうちに落ちてきたり落ちていったりします。	1
116	体育は何をしますか	運動をします	1
117	専門科目は難しいですか	難しく感じる人もいますが、Alexaは簡単だと思いました	1
118	入試に向けて何を勉強すればいいですか	国数社理英の五科目、特に数理を十分に勉強してください	1
119	英語は勉強したほうがいいですか？	有名企業に就職できます。	0
120	九十分授業は長いですか	九十分くらいあるので、長いです	1
121	かっぱ巻きです	Dess-Martin酸化はどんな反応ですか	0
122	寮にWifiはありますか？	ある（ない）	1
123	何mまで笑顔で走れますか？	個人差があります。僕は50mが限界です（情報学科高専生の平均値）	1
124	論文は読めますか？	ニコニコ動画とYoutubeはどちらが優良ですか？	0
125	寮内スタンプラリーとはなんですか？	寮内をまわることです	1
126	この研究室では何をしてますか？	おすすめのキーボードはなんですか？	0
127	大学には入れますか？	入れます	1
128	課題が毎年出るのでその課題をクリアできるようなロボットを作ってます。	寮があるので、家が遠かったら寮を利用しましょう	0
129	一番好きな定理はなんですか？	います	0
130	単位は美味しいですか	美味しいです	1
131	寮生活は楽しいですか	楽しいです	1
132	寮の同部屋はどんな人ですか	基本的に同学年の人と組みますが、人によっては上の学年の人と同部屋になるかもしれません	1
133	寮生活は強制ですか？	強制ではありません。家から通ったほうがいい人は流されずに通いましょう。	1
134	寮でAmazonは使えますか？	入ってよかったと思いますか？	0
135	公園しかないです	頭よさそう	0
136	寮の掃除はありますか	週に二回掃除があります。	1
137	GPAはいつ必要になりますか？	Alexaは物理が好きです	0
138	マクスウェルの方程式って何ですか？	微分方程式の解の公式は覚えたほうが良いですか？	0
139	こうよう祭ってなんですか？	https://youtu.be/sQD8f4oIfPQ	1
140	留学は毎年何人くらい行きますか？	毎年クラスで10名程度が留学に行きます	1
141	そもそも元が標準はあると思うのでなんとかなります。	寮生活は楽しいですか	0
142	論文は読めますか？	気合で読みましょう	1
143	専門の資格は取れますか	取れますが、自分から勉強する必要があります	1
144	機械工学科はどんな学科ですか	いろいろあります。詳しくはホームぺージをチェック！	0
145	基本的に同学年の人と組みますが、人によっては上の学年の人と同部屋になるかもしれません	高専出身の有名人はいますか？	0
146	パソコンは必要ですか	寮にいると地元の友だちいなくなりませんか？	0
147	Appleに入れますか	頑張ってください	1
148	高専ではどんなプログラミング言語を学べますか	はい、外部単位という形で認められた資格を取ると取得できたりします。外部の大学の授業を取ることもできます。	0
149	運動場に芝生は生えていますか	生えています。先生が頑張って育てているんですよ	1
150	今日のご飯は何ですか	ロボコンのことです	0
151	なれます	バイトはできますか？	0
152	あります	たのしいです	0
153	高専に入ってよかったことは何ですか？	同じ志を持つ仲間と巡り会えることです	1
154	歌志軒豊田店はつぶれましたか？	はい	1
155	寮で夜ふかしできますか？	できますが次の日死にます	1
156	TOEICや各種資格が認定されます。詳しくはホームページを確認してください	好きな飲み物はなんですか	0
157	真空の固有インピーダンスは何ですか？	376Ω	1
158	人によります	高専とはどんなところですか？	0
159	ウォーターサーバーはありますか？	あります	1
160	ファミリーマート、セブンイレブンがあります	おいでんバスは便利ですか	0
161	授業中寝てしまっても大丈夫ですか？	体育はきついですか？	0
162	朝体操はさぼることはできますか？	はい、寒さで表面上に異常がみられれば毎日休めます	1
163	有利じゃないです	ありません。一生私服です。	0
164	自動販売機はありますか	沢山あります	1
165	メチルシクロヘキサンのいす型配座で最も安定なのはどれですか	いす型配座にはエクアトリアル位とアキシアル位があり、メチル基がアキシアル位にあると1,3ジアキシアル相互作用による立体障害を受け不安定となる。よってエクアトリアル位にメチル基がある配座が最も安定となります	1
166	CIP則ってなんですか	EZ表示法やRS表示法を用いる際につける優先順位のルールです	1
167	好きな植物はなんですか	運動場に芝生は生えていますか	0
168	赤点は何点ボーダーですか？	留学はどこにいけますか？	0
169	進学にも就職にも失敗したらどうなりますか？	研究生として高専に残ることもできますし、卒業する事もできます。	1
170	EZ表示法やRS表示法を用いる際につける優先順位のルールです	論文は読めますか？	0
171	ロボコンは何をするんですか？	課題が毎年出るのでその課題をクリアできるようなロボットを作ってます。	1
172	はい、確実に取れます。やつらが受験勉強をしている間にInstagramを更新しましょう！	あります、しかし平均点２８点でもとれる単位も存在します	0
173	入試に向けて何を勉強すればいいですか	数学は使いますか	0
174	制服はありますか？	ありません。一生私服です。	1
175	部活ばっかりやってて成績は落ちますか？	勉強すれば大丈夫です	1
176	高専で英語が話せるようになりますか？	高専で英語が話せるようになりますか？	0
177	バイトはできますか？	できます	1
178	好きな食べ物は何ですか	醤油	1
179	なにかおすすめの参考書はありますか	Friedel-Crafts反応とはどんな反応ですか	0
180	修学旅行はどこに行きますか	行く人は行きます	1
181	建築学科はどんな学科ですか	トイレは綺麗ですか	0
182	他県からの学生はいますか	良くも悪くも自由なところです	0
183	好きなプログラミング言語はなんですか	pythonです	1
184	入試の英語は難しいですか	公立入試の英語よりかは難しいです	1
185	校則はありますか？	います	0
186	hypothesisです。	人によりますが、普通にやっていれば大丈夫です	0
187	あります	良くも悪くも自由なところです	0
188	そうですね	課題が毎年出るのでその課題をクリアできるようなロボットを作ってます。	0
189	寮の掃除は大変ですか	Hückel則について教えてください	0
190	Diels-Alder反応の反応機構を教えてください	屋上に立ち入ることはできますか	0
191	寮に虫はいますか	夏はカメムシがよく出ます	1
192	彼氏はできますか	彼氏ならできるかもしれません	1
193	科目はどんなものがありますか	いろいろあります。詳しくはホームぺージをチェック！	1
194	服装はどうしますか	ゴールデンウィークまでは制服で、それ以降は自由です	1
195	寮のご飯は美味しいですか	食堂のご飯のコスパはいいです	1
196	好きなお寿司のネタは何ですか	梅坪駅です。	0
197	運動方程式を導出する解析力学の概念です	先生の笑顔	0
198	専門科目の試験は難しいですか	ipadは必要ですか？	0
199	学科・部活動によりますが、情報科の場合は三年生から必要になります。	寮生活の悩みはありますか？	0
200	教室にロッカーはありますか	あります。南京錠は自分で買ってください	1
201	入試の成績は今後に影響しますか？	なれるとそうでもないです。	0
202	売店はありますか	大丈夫です	0
203	大変です	Alexaは美味しいと思います	0
204	数学は使いますか	建築学科はどんな学科ですか	0
205	大きいです	好きな先生は誰ですか	0
206	授業中寝てしまっても大丈夫ですか？	大丈夫です	1
207	NITTCとはなんですか？	“National Institute of Technology, Toyota College”の略称です。言えるとかっこよかったりします	1
208	赤点は何点ボーダーですか？	60点です。	1
209	入試の難易度は？	不参加者にはペナルティがあります（村田先生と草をむしろう）	0
210	他学科の人とつながりはありますか？	寮にいるとできますが、通学生はあまりできないでしょう	1
211	そこまで汚くありません	オタクが多いからです	0
212	高専は全国に何校ありますか？	国立51校、公立3校、私立3校で計57校です。	1
213	売店はありますか	あります。ヤマザキです	1
214	青春って何ですか？	同部屋の友達にどっきりをしかけたことです。	0
215	留学は楽しいですか？	楽しいかもしれません	1
216	彼氏はできますか	インターンは楽しいですか？	0
217	定期試験は難しいですか	単位が取れるように作ってくれるので基本的に大丈夫ですが、たまに難しくしてくる先生もいます	1
218	寮生活で一番楽しかったことは何ですか？	独立行政法人国立高等専門学校機構豊田工業高等専門学校、です	0
219	マクスウェルの方程式って何ですか？	電磁気学の概念を表す方程式のことです	1
220	留年してしまうことはありますか？	毎年クラスの１，２人が留年してしまいます	1
221	就職は有利ですか？	しています。最高です。	0
222	あります、しかし平均点２８点でもとれる単位も存在します	陰キャですか？	0
223	先生はどんな人ですか？	面白い人です	1
224	女子はいますが少ないです	魔剤はあります	0
225	寮の掃除は大変ですか	大変です	1
226	通学している人はいますか？	はい、います	1
227	校則はありますか？	基本ありません。	1
228	好きな文房具は何ですか	カレーです	0
229	留学は毎年何人くらい行きますか？	学校内でのバイトはありますか？	0
230	魔剤はあります	まともですか？	0
231	優先して寮に入れます	好きな飲み物は何ですか	0
232	かなり有利です、苦労することがありません（高望みしなければ）	先生がわかりやすく教えてくれるのでかんたんです。	0
233	定期試験は大変ですか？	長いです	1
234	留学はどこにいけますか？	ヨーロッパ圏が多いです	1
235	朝ダッシュとはなんですか？	朝に食堂に走ることです	1
236	はい、前例があります	好きなメニューは何ですか？	0
237	こうよう祭はたのしいですか？	たのしいです	1
238	作ればできます	豊田高専は大きいですか？	0
239	予備校に行く必要はありますか？	大事です	0
240	先生と仲良くなれますか	なれます	1
241	一番好きなSNSは何ですか？	twitterです	1
242	一番好きな定理はなんですか？	標本化定理です。	1
243	パソコンは必要ですか	必要です。情報工学科では三年次に全員が購入する必要があります	1
244	日本語は得意ですか	不自由な人が多いです	1
245	入寮作業は大変ですか？	優しいお兄さんが手伝ってくれます	1
246	おすすめのキーボードはなんですか？	高専って何ですか	0
247	好きな植物はなんですか	桜です。学校の前にはたくさんの桜が咲いています。好きな単位はなんですか	Iパスです。理由は美味しいからです。	1
248	生徒会はありますか	学生会があります	1
249	NTRは地雷ですか	高専の授業において文才は必要ですか？	0
250	髪の色は制限はありますか？	僕はピンクの人を見たことがあります	1
